name,email,homePhone,workPhone,birthday,customerType
 ,Holly_Ruecker@fakegmail.com,1-305-555-3789 x95418,(845) 555-6545 x90312, ,regular
Caden Marks,Cheyenne60@fakeyahoo.com,(375) 950-8158 x940,768-981-6345 x90600,"March 26, 2018",regular
Amani O'Hara,Celine_Stoltenberg@fakehotmail.com,,1-155-956-8519,"November 5, 2018",regular
 ,Ervin88@fakehotmail.com,1-407-624-4354,754-931-5537,"October 13, 2018",customer
Henry Reilly,Donnie_Kuhn5@fakeyahoo.com,251-100-2531 x484,463.292.6089,"June 14, 2018",
Damaris ,Alyce_Altenwerth47@fakehotmail.com,1-458-320-3175,, ,regular
Verla O'Hara,Kile\y91@fakeyahoo.com,965.776.3803 x57666,711-859-6283,"March 11, 2018",customer
Bret Dicki,,(615) 135-7723 x22694,820-404-1040 x73468,"July 30, 2018",regular
Taya Hane,Clinton85@fakeyahoo.com,,, ,regular
 ,Lia_Baumbach98@fakeyahoo.com,(485) 448-4511,150.765.3359 x40369, ,regular
Shawn Kohler,Cleve_Hand67@fakeyahoo.com,565.051.4094 x231,1-129-172-8048 x2580,"September 23, 2018",regular
Kellen Pollich,Lilly_Daniel@fakeyahoo.com,(933) 496-4255 x42355,1-188-045-9466 x662, ,regular
Cheyenne Stroman,Chesley.Keeling46@fakehotmail.com,(421) 148-4150,(961) 056-6355 x622,"March 10, 2018",vip
Lyric Hilll,Kenneth_Kerluke@fakeyahoo.com,471.733.3265,(277) 349-6544,"August 3, 2018",customer
 ,,,552.817.6277,"January 12, 2018",vip
Luis Crooks,,,785-222-1480 x1956,"July 4, 2018",vip
 ,Harvey60@fakehotmail.com,899.573.0715 x485,567.089.5315 x5702, ,regular
Chester Bergnaum,Polly_Douglas@fakehotmail.com,388.477.3118,1-071-952-1560 x05440,"September 25, 2018",regular
"Bernhard Mueller, Jr.",Emanuel_Stark33@fakeyahoo.com,(494) 752-9058,(122) 591-8118,"December 25, 2018",customer
Anabel Purdy,Daisy_Torphy@fakeyahoo.com,,342.594.1037 x614,"January 7, 2018",regular
Brad Birnbaum,bb@fakekustomer.com,,, ,vip
Ursula Frami,Kaia83@fakehotmail.com,487.450.2256 x5103,, ,vip
Camden Sanford,Eulalia_Hauck@fakehotmail.com,1-106-674-4640 x6531,, ,regular
Elfrieda Heathcote,Haven.Harber@fakeyahoo.com,942.200.5339,040-964-9145,"October 31, 2018",
Ian Brekke,Major.Rempel98@fakeyahoo.com,667.668.7217 x7242,934-101-5945 x8645,"September 26, 2018",
 ,Itzel_McKenzie23@fakehotmail.com,492.308.6163 x082,(020) 648-1832 x80870, ,regular
Kenneth Kunze,,,579.893.8803,"November 11, 2018",customer
Angelina Watsica,Gregory_Bosco7@fakehotmail.com,538-254-7912 x7166,, ,regular
Willie Metz,,,139-490-3249 x796,"November 17, 2018",vip
Jovanny Gaylord,Marie3@fakeyahoo.com,1-841-378-4108 x34610,, ,customer
Efrain Waelchi,Tabitha_Jaskolski39@fakehotmail.com,1-728-298-9745,823-531-0729 x7478,"December 25, 2018",vip
Adolphus Raynor,,,1-123-598-0519 x27191,"June 28, 2018",customer
 ,Meagan38@fakehotmail.com,114-336-7849 x043,971.296.6946,"January 17, 2018",vip
Fred Ullrich,Casimer_OReilly88@fakegmail.com,559-701-9599 x67208,1-760-995-3059 x825,"November 4, 2018",regular
Shany Abernathy,Mercedes.Mueller55@fakeyahoo.com,(922) 183-7495,(926) 421-6077 x971,"November 23, 2018",
Sally ,Verna_Waters24@fakehotmail.com,1-895-143-9570 x207,237.446.3740 x9848,"February 3, 2018",
Josefina Labadie,Cloyd17@fakeyahoo.com,180.410.9627,, ,vip
Eleonore Douglas,Josiah_Gerhold@fakeyahoo.com,957.617.6869 x73592,1-473-431-9585,"December 15, 2018",customer
Madaline Kilback,Alisa.Corwin87@fakehotmail.com,502.749.4879 x29441,, ,customer
Jared Blick,Jack_Schultz88@fakegmail.com,932.980.4975 x7486,681.018.5116,"November 15, 2018",vip
Maude Hettinger,Will23@fakeyahoo.com,822-467-0198,727.139.3848,"July 24, 2018",customer
Kay Yundt,Nola_Hauck64@fakehotmail.com,233.712.1302 x7309,, ,customer
Veda ,Cecile_Bednar@fakehotmail.com,(939) 439-3510 x10791,1-636-894-0472 x3480,"June 1, 2018",regular
Taya Hane,Clinton85@fakeyahoo.com,(008) 294-3323 x63233,,"April 11, 2018",regular
Darrin Stamm,Roman.Luettgen26@fakeyahoo.com,721.341.3316 x3922,, ,vip
Queen Nikolaus,Mandy_Feil48@fakehotmail.com,406-327-6848,754-092-4075,"January 19, 2018",customer
Stanford Graham,,,1-872-131-1291 x0792,"June 11, 2018",vip
Walton Weber,Kevon51@fakehotmail.com,1-482-876-4209 x118,324-258-3381 x275,"February 18, 2018",
Freddie Nader,Alyce0@fakegmail.com,077.716.1580,, ,regular
Angelina Kirlin,%3CCindy_Roberts@fakehotmail.com%3E,1-006-823-6528 x24387,, ,customer
Tess Denesik,Jonas_Aufderhar62@fakegmail.com,986-862-1120,1-470-556-6674 x28205,"May 3, 2018",vip
Karlee Wisoky,,,(453) 873-0918 x584,"November 23, 2018",regular
Mia Robel,Graham38@fakeyahoo.com,(918) 551-2653 x5443,574-681-3661 x625,"March 6, 2018",
Shyann Waelchi,Lamont_Collins46@fakeyahoo.com,1-278-032-9051 x92390,, ,regular
Twila Marvin,,,(889) 174-0069,"April 7, 2018",regular
Jayde Monahan,%3CMaurine65@fakeyahoo.com%3E,046-498-3304,, ,customer
Donna Kshlerin,Sammy96@fakehotmail.com,,129.363.7432,"July 9, 2018",customer
 ,Albina63@fakeyahoo.com,(136) 522-8569 x675,042.498.2378 x222, ,customer
Elnora ,,,159.221.1987 x73647,"September 29, 2018",customer
Willow Strosin,Kara73@fakegmail.com,(112) 630-2948 x3394,073-457-7848 x0193, ,regular
Nikita Rogahn,&lt;Vicky78@fakeyahoo.com&gt;,1-771-647-6251 x42010,736.657.1783 x7390,"April 13, 2018",vip
 ,Laila_Pouros@fakegmail.com,576-953-2720,937-457-3557 x0787, ,customer
Mohammed Keebler,Deondre43@fakeyahoo.com,447.823.8814 x3292,1-270-033-1182 x98301,"October 31, 2018",
Tatum Mueller,Abdiel.Walker65@fakeyahoo.com,,(708) 614-7467,"December 24, 2018",regular
 ,Nicholaus_Pfannerstill78@fakegmail.com,(361) 883-9901,(386) 185-8049 x9156, ,vip
 ,Shaniya_Cartwright24@fakehotmail.com,(322) 692-0378,1-407-474-8793, ,customer
Estrella McCullough,Jaleel.Torphy37@fakegmail.com,1-066-073-1732,132.201.8531 x90431,"August 5, 2018",
Maximo Cartwright,Abbigail.Durgan8@fakegmail.com,088.493.1972,403-725-2909,"April 29, 2018",vip
Gunner Leannon,Guillermo_VonRueden88@fakeyahoo.com,(193) 271-9250 x46302,126-816-7467 x06820,"January 2, 2018",
Henderson Mertz,Curt82@fakehotmail.com,689.479.9691,1-782-613-5288 x3464,"July 22, 2018",customer
Devante Mitchell,,(489) 032-2934,, ,vip
Deon Abernathy,Santino42@fakegmail.com,682-232-3021 x770,183.280.3820,"October 28, 2018",
Woodrow Towne,Roderick44@fakehotmail.com,808.311.5585 x2449,896-049-9421 x755,"March 29, 2018",customer
Patsy Kreiger,,993.929.5755 x144,,"September 17, 2018",regular
Matilde ,Kevin.Lesch@fakegmail.com,790-710-7730 x961,115-622-4873,"April 2, 2018",customer
Nathen Jaskolski,,489-738-4357 x4300,142-107-7587 x314,"February 18, 2018",
Cheyanne Little,Loy.Hickle86@fakeyahoo.com,(846) 019-1673,283.073.0462,"March 15, 2018",
Elouise Fisher,Theron56@fakeyahoo.com,(830) 702-0201,(082) 669-9735,"February 24, 2018",regular
Howard Schimmel,Nathanael_Hintz31@fakegmail.com,(915) 545-8935 x8426,, ,vip
Howard Stokes,Ole31@fakegmail.com,(057) 560-2155 x59381,,"November 11, 2018",vip
Ezra Harber,Brooklyn.Kautzer@fakehotmail.com,458.572.3320,1-411-688-0873 x879,"September 8, 2018",
Rodrigo Marquardt,Blanca4@fakeyahoo.com,(730) 144-2178 x273,421.784.5549 x1027,"September 19, 2018",
Erwin Murphy,Troy_Schiller84@fakeyahoo.com,308.309.6034,, ,customer
Queenie Johnston,Colton_Stroman@fakehotmail.com,837.855.0172 x67060,818.396.5508,"September 18, 2018",vip
Garret Hegmann,Madyson12@fakehotmail.com,(080) 523-0551 x91320,, ,vip
Cara Kautzer,,,(244) 488-5828,"February 21, 2018",regular
 ,Trey.Cronin@fakeyahoo.com,435.430.2979,113-181-7540 x99138, ,regular
Haylee Ward,Shaun.Keebler@fakehotmail.com,1-384-249-2513,, ,vip
Ignacio Marks,Kaylee.Harvey0@fakehotmail.com,494-943-3289 x9959,650.291.5390 x4958,"February 13, 2018",customer
Gilda Emard,Orin7@fakehotmail.com,819.215.2369 x3844,402-647-8061,"May 25, 2018",regular
Reece Wyman,Kaylie.Bogisich83@fakeyahoo.com,072.583.4845 x292,, ,regular
Keon Hickle,Agustin.Friesen@fakehotmail.com,,1-876-701-2289 x6567, ,vip
Olga McGlynn,Rosina46@fakeyahoo.com,(589) 701-5106 x85782,555-525-6412,"February 22, 2018",
