name,email,homePhone,workPhone,customerType,birthday
 ,Holly_Ruecker@fakegmail.com,1-305-555-3789 x95418,(845) 555-6545 x90312,regular,
Caden Marks,Cheyenne60@fakeyahoo.com,(375) 950-8158 x940,768-981-6345 x90600,regular,Sun Mar 26 2017 21:10:22 GMT-0400 (EDT)
Amani O'Hara,Celine_Stoltenberg@fakehotmail.com,,1-155-956-8519,regular,Sat Nov 05 2016 18:00:31 GMT-0400 (EDT)
 ,Ervin88@fakehotmail.com,1-407-624-4354,754-931-5537,customer,Thu Oct 13 2016 00:07:28 GMT-0400 (EDT)
Henry Reilly,Donnie_Kuhn5@fakeyahoo.com,251-100-2531 x484,463.292.6089,,Tue Jun 14 2016 18:50:22 GMT-0400 (EDT)
Damaris ,Alyce_Altenwerth47@fakehotmail.com,1-458-320-3175,,regular,
Verla O'Hara,Kile\y91@fakeyahoo.com,965.776.3803 x57666,711-859-6283,customer,Sat Mar 11 2017 16:43:28 GMT-0500 (EST)
Bret Dicki,,(615) 135-7723 x22694,820-404-1040 x73468,regular,Sat Jul 30 2016 14:31:53 GMT-0400 (EDT)
Taya Hane,Clinton85@fakeyahoo.com,,,regular,
 ,Lia_Baumbach98@fakeyahoo.com,(485) 448-4511,150.765.3359 x40369,regular,
Shawn Kohler,Cleve_Hand67@fakeyahoo.com,565.051.4094 x231,1-129-172-8048 x2580,regular,Fri Sep 23 2016 01:09:31 GMT-0400 (EDT)
Kellen Pollich,Lilly_Daniel@fakeyahoo.com,(933) 496-4255 x42355,1-188-045-9466 x662,regular,
Cheyenne Stroman,Chesley.Keeling46@fakehotmail.com,(421) 148-4150,(961) 056-6355 x622,vip,Fri Mar 10 2017 07:28:51 GMT-0500 (EST)
Lyric Hilll,Kenneth_Kerluke@fakeyahoo.com,471.733.3265,(277) 349-6544,customer,Wed Aug 03 2016 03:28:38 GMT-0400 (EDT)
 ,,,552.817.6277,vip,Thu Jan 12 2017 14:17:41 GMT-0500 (EST)
Luis Crooks,,,785-222-1480 x1956,vip,Mon Jul 04 2016 16:01:47 GMT-0400 (EDT)
 ,Harvey60@fakehotmail.com,899.573.0715 x485,567.089.5315 x5702,regular,
Chester Bergnaum,Polly_Douglas@fakehotmail.com,388.477.3118,1-071-952-1560 x05440,regular,Sun Sep 25 2016 08:15:29 GMT-0400 (EDT)
"Bernhard Mueller, Jr.",Emanuel_Stark33@fakeyahoo.com,(494) 752-9058,(122) 591-8118,customer,Sun Dec 25 2016 04:17:14 GMT-0500 (EST)
Anabel Purdy,Daisy_Torphy@fakeyahoo.com,,342.594.1037 x614,regular,Sat Jan 07 2017 01:17:34 GMT-0500 (EST)
Brad Birnbaum,bb@fakekustomer.com,,,vip,
Ursula Frami,Kaia83@fakehotmail.com,487.450.2256 x5103,,vip,
Camden Sanford,Eulalia_Hauck@fakehotmail.com,1-106-674-4640 x6531,,regular,
Elfrieda Heathcote,Haven.Harber@fakeyahoo.com,942.200.5339,040-964-9145,,Mon Oct 31 2016 06:00:21 GMT-0400 (EDT)
Ian Brekke,Major.Rempel98@fakeyahoo.com,667.668.7217 x7242,934-101-5945 x8645,,Mon Sep 26 2016 08:43:43 GMT-0400 (EDT)
 ,Itzel_McKenzie23@fakehotmail.com,492.308.6163 x082,(020) 648-1832 x80870,regular,
Kenneth Kunze,,,579.893.8803,customer,Fri Nov 11 2016 10:21:28 GMT-0500 (EST)
Angelina Watsica,Gregory_Bosco7@fakehotmail.com,538-254-7912 x7166,,regular,
Willie Metz,,,139-490-3249 x796,vip,Thu Nov 17 2016 18:35:55 GMT-0500 (EST)
Jovanny Gaylord,Marie3@fakeyahoo.com,1-841-378-4108 x34610,,customer,
Efrain Waelchi,Tabitha_Jaskolski39@fakehotmail.com,1-728-298-9745,823-531-0729 x7478,vip,Sun Dec 25 2016 09:42:30 GMT-0500 (EST)
Adolphus Raynor,,,1-123-598-0519 x27191,customer,Tue Jun 28 2016 18:51:59 GMT-0400 (EDT)
 ,Meagan38@fakehotmail.com,114-336-7849 x043,971.296.6946,vip,Tue Jan 17 2017 09:54:33 GMT-0500 (EST)
Fred Ullrich,Casimer_OReilly88@fakegmail.com,559-701-9599 x67208,1-760-995-3059 x825,regular,Fri Nov 04 2016 23:51:56 GMT-0400 (EDT)
Shany Abernathy,Mercedes.Mueller55@fakeyahoo.com,(922) 183-7495,(926) 421-6077 x971,,Wed Nov 23 2016 23:36:11 GMT-0500 (EST)
Sally ,Verna_Waters24@fakehotmail.com,1-895-143-9570 x207,237.446.3740 x9848,,Fri Feb 03 2017 10:06:48 GMT-0500 (EST)
Josefina Labadie,Cloyd17@fakeyahoo.com,180.410.9627,,vip,
Eleonore Douglas,Josiah_Gerhold@fakeyahoo.com,957.617.6869 x73592,1-473-431-9585,customer,Thu Dec 15 2016 13:06:04 GMT-0500 (EST)
Madaline Kilback,Alisa.Corwin87@fakehotmail.com,502.749.4879 x29441,,customer,
Jared Blick,Jack_Schultz88@fakegmail.com,932.980.4975 x7486,681.018.5116,vip,Tue Nov 15 2016 15:29:08 GMT-0500 (EST)
Maude Hettinger,Will23@fakeyahoo.com,822-467-0198,727.139.3848,customer,Sun Jul 24 2016 12:44:20 GMT-0400 (EDT)
Kay Yundt,Nola_Hauck64@fakehotmail.com,233.712.1302 x7309,,customer,
Veda ,Cecile_Bednar@fakehotmail.com,(939) 439-3510 x10791,1-636-894-0472 x3480,regular,Wed Jun 01 2016 05:17:50 GMT-0400 (EDT)
Taya Hane,Clinton85@fakeyahoo.com,(008) 294-3323 x63233,,regular,Tue Apr 11 2017 02:19:44 GMT-0400 (EDT)
Darrin Stamm,Roman.Luettgen26@fakeyahoo.com,721.341.3316 x3922,,vip,
Queen Nikolaus,Mandy_Feil48@fakehotmail.com,406-327-6848,754-092-4075,customer,Thu Jan 19 2017 20:26:22 GMT-0500 (EST)
